WEEK_COL,SITE_ID,FRASS_g,LEAF_LITTER_g
WEEK_02,SPRL_01,0.01,0.75
WEEK_02,SPRL_03,0.01,0.45
WEEK_02,MSHN_01,0.01,0.63
WEEK_02,MSHN_02,0.06,1.94
WEEK_02,MSHN_03,0.05,0.5
WEEK_02,BDEG_01,0.18,1.25
WEEK_02,BDEG_02,0.38,1.95
WEEK_02,BDEG_03,0.41,2.98
WEEK_03,SPRL_01,0.01,0.04
WEEK_03,SPRL_03,0.01,0.64
WEEK_03,MSHN_01,0.01,2.79
WEEK_03,MSHN_02,0.08,3.09
WEEK_03,MSHN_03,0.04,0.76
WEEK_03,BDEG_01,0.13,0.62
WEEK_03,BDEG_02,0.28,1.54
WEEK_03,BDEG_03,0.24,1.89
WEEK_04,SPRL_01,0.08,2.4
WEEK_04,SPRL_03,0.24,2.29
WEEK_04,MSHN_01,0.05,3.88
WEEK_04,MSHN_02,0.25,6.67
WEEK_04,MSHN_03,0.3,2.4
WEEK_04,BDEG_01,0.48,2.47
WEEK_04,BDEG_02,0.57,3.89
WEEK_04,BDEG_03,0.67,1.97
WEEK_05,SPRL_01,0.01,1.21
WEEK_05,SPRL_03,0.26,1.09
WEEK_05,MSHN_01,0.03,2.61
WEEK_05,MSHN_02,0.01,0.72
WEEK_05,MSHN_03,0.01,0.56
WEEK_05,BDEG_01,0.01,2.75
WEEK_05,BDEG_02,0.01,3.29
WEEK_05,BDEG_03,0.02,4.17
WEEK_06,SPRL_01,NA,NA
WEEK_06,SPRL_03,NA,NA
WEEK_06,MSHN_01,NA,NA
WEEK_06,MSHN_02,NA,NA
WEEK_06,MSHN_03,NA,NA
WEEK_06,BDEG_01,NA,NA
WEEK_06,BDEG_02,NA,NA
WEEK_06,BDEG_03,NA,NA
WEEK_07,SPRL_01,NA,NA
WEEK_07,SPRL_03,NA,NA
WEEK_07,MSHN_01,NA,NA
WEEK_07,MSHN_02,NA,NA
WEEK_07,MSHN_03,NA,NA
WEEK_07,BDEG_01,NA,NA
WEEK_07,BDEG_02,NA,NA
WEEK_07,BDEG_03,NA,NA
WEEK_08,SPRL_01,NA,NA
WEEK_08,SPRL_03,NA,NA
WEEK_08,MSHN_01,NA,NA
WEEK_08,MSHN_02,NA,NA
WEEK_08,MSHN_03,NA,NA
WEEK_08,BDEG_01,NA,NA
WEEK_08,BDEG_02,NA,NA
WEEK_08,BDEG_03,NA,NA
WEEK_09,SPRL_01,NA,NA
WEEK_09,SPRL_03,NA,NA
WEEK_09,MSHN_01,NA,NA
WEEK_09,MSHN_02,NA,NA
WEEK_09,MSHN_03,NA,NA
WEEK_09,BDEG_01,NA,13.27
WEEK_09,BDEG_02,NA,NA
WEEK_09,BDEG_03,NA,10.34
WEEK_10,SPRL_01,NA,NA
WEEK_10,SPRL_03,NA,NA
WEEK_10,MSHN_01,NA,NA
WEEK_10,MSHN_02,NA,1.84
WEEK_10,MSHN_03,NA,NA
WEEK_10,BDEG_01,NA,NA
WEEK_10,BDEG_02,0.23,2.78
WEEK_10,BDEG_03,NA,NA