In box,DATE_COL,SITE_ID,UNIQUE_ID,LATITUDE,LONGITUDE,TARGET_TAXON,TOTAL,LIFE_STAGE,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,GENUS,FFG,HABIT,COLLECTED_BY,IDENTIFIED_BY,NOTES,,,,,,,,,,
TRUE,2023-05-16,MSHN_2,PSU_VP_001,40.93583,-78.032284,Gerris,1,Adult,Arthropoda,Insecta,Hemiptera,Gerridae,Gerrinae,Gerris,PRED,,M. Ward,M. Ward,,,,,,,,,,,
FALSE,2023-05-16,MSHN_2,PSU_VP_002,40.93583,-78.032284,Acilius,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscinae,Acilius,PRED,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-17,BDEG_3,PSU_VP_003,40.80368,-77.499264,Ilybius,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabinae,Ilybius,PRED,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-17,BDEG_3,PSU_VP_004,40.80368,-77.499264,Chauliodes,1,Larvae,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodinae,Chauliodes,PRED,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_005,41.15978,-77.899456,Corydalidae,1,Larvae,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodinae,Chauliodes,PRED,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_006,41.15978,-77.899456,Corydalidae,1,Larvae,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodinae,Chauliodes,PRED,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-17,BDEG_2,PSU_VP_007,40.80081,-77.506195,Chauliodes,1,Larvae,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodinae,Chauliodes,PRED,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-17,BDEG_2,PSU_VP_008,40.80081,-77.506195,Chauliodes,1,Larvae,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodinae,Chauliodes,PRED,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_009,40.93583,-78.032284,Ranatra,1,Adult,Arthropoda,Insecta,Hemiptera,Nepidae,Ranatrinae,Ranatra,PRED,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-24,BDEG_3,PSU_VP_010,40.80368,-77.499264,Chauliodes,1,Larvae,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodinae,Chauliodes,PRED,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-24,BDEG_3,PSU_VP_011,40.80368,-77.499264,Ilybius,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabinae,Ilybius,PRED,,M.Ward,M. Ward,one of them had mites,,,,,,,,,,
TRUE,2023-05-24,BDEG_3,PSU_VP_012,40.80368,-77.499264,Ilybius,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabinae,Ilybius,PRED,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_013,40.93583,-78.032284,Dytiscus,1,Larvae,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscinae,Dytiscus,PRED,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_2,PSU_VP_014,40.93583,-78.032284,Dytiscus,1,Larvae,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscinae,Dytiscus,PRED,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_015,40.84595,-78.097878,Brychius,1,Adult,Arthropoda,Insecta,Coleoptera,Haliplidae,,Brychius,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_016,41.15978,-77.899456,Aeshna,1,Larvae,Arthropoda,Insecta,Odonata,Aeshnidae,,Aeshna,PRED,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_2,PSU_VP_017,40.93583,-78.032284,Hydroporinae,1,Larvae,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-24,BDEG_3,PSU_VP_018,40.80368,-77.499264,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_019,40.84595,-78.097878,Aeshna,1,Naiad,Arthropoda,Insecta,Odonata,Aeshnidae,,Aeshna,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_020,40.93583,-78.032284,Lesteva,1,Adult,Arthropoda,Insecta,Coleoptera,Staphylinidae,Omaliinae,Lesteva,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_021,40.93583,-78.032284,Lesteva,1,Adult,Arthropoda,Insecta,Coleoptera,Staphylinidae,Omaliinae,Lesteva,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-24,BDEG_2,PSU_VP_022,40.80081,-77.506195,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_1,PSU_VP_023,40.84595,-78.097878,Agabinae,1,Larvae,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabinae,,,,M.Ward,M. Ward,could be 4 different genera,,,,,,,,,,
TRUE,2023-05-23,MSHN_1,PSU_VP_024,40.84595,-78.097878,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_1,PSU_VP_025,40.84595,-78.097878,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-24,BDEG_3,PSU_VP_026,40.80368,-77.499264,Hydroporinae,1,Larvae,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_027,41.15978,-77.899456,Liodessus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Liodessus,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,SPRL_3,PSU_VP_028,41.15978,-77.899456,Liodessus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Liodessus,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_029,41.15978,-77.899456,Liodessus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Liodessus,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_030,41.15978,-77.899456,Liodessus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Liodessus,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_031,41.15978,-77.899456,Enochrus,1,Adult,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_032,41.15978,-77.899456,Enochrus,1,Adult,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_033,41.15978,-77.899456,Enochrus,1,Adult,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_034,41.15978,-77.899456,Enochrus,1,Adult,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_035,41.15978,-77.899456,Liodessus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Liodessus,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_036,41.15978,-77.899456,Enochrus,1,Adult,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_037,41.15978,-77.899456,Liodessus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Liodessus,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-24,BDEG_3,PSU_VP_038,40.80368,-77.499264,Sminthurus,1,Adult,Arthropoda,Entognatha,Collembola,Sminthuridae,,Sminthurus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-24,BDEG_3,PSU_VP_039,40.80368,-77.499264,Sminthurus,1,Adult,Arthropoda,Entognatha,Collembola,Sminthuridae,,Sminthurus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-17,BDEG_3,PSU_VP_040,40.80368,-77.499264,Sminthurus,1,Adult,Arthropoda,Entognatha,Collembola,Sminthuridae,,Sminthurus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_041,41.15978,-77.899456,Liodessus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Liodessus,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_1,PSU_VP_042,40.84595,-78.097878,Acilius,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscinae,Acilius,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_043,41.15978,-77.899456,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_044,41.15978,-77.899456,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_045,41.15978,-77.899456,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_2,PSU_VP_046,40.93583,-78.032284,Neoporus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Neoporus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_2,PSU_VP_047,40.93583,-78.032284,Enochrus,1,Adult,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_3,PSU_VP_048,40.94993,-78.002096,Limnephilus,1,Larvae,Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilinae,Limnephilus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_049,40.84595,-78.097878,Neoporus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Neoporus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_050,40.84595,-78.097878,Hydroporus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Hydroporus,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_051,40.84595,-78.097878,Chaoboridae,1,Pupa,Arthropoda,Insecta,Diptera,Chaoboridae,,,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_052,40.84595,-78.097878,Diptera,1,Pupa,Arthropoda,Insecta,Diptera,,,,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_053,40.84595,-78.097878,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_054,40.84595,-78.097878,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_055,40.84595,-78.097878,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_056,40.84595,-78.097878,Diptera,1,Larvae,Arthropoda,Insecta,Diptera,,,,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_057,40.84595,-78.097878,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_058,40.84595,-78.097878,Aedes,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Aedes,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_059,40.84595,-78.097878,Diptera,1,Pupa,Arthropoda,Insecta,Diptera,,,,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_060,40.84595,-78.097878,Diptera,1,Pupa,Arthropoda,Insecta,Diptera,,,,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_061,40.84595,-78.097878,Gerris,1,Larvae,Arthropoda,Insecta,Hemiptera,Gerridae,,Gerris,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_1,PSU_VP_062,40.84595,-78.097878,Neoporus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Neoporus,,,M.Ward,M. Ward,not sure that this is dytiscidae,,,,,,,,,,
TRUE,2023-05-17,BDEG_2,PSU_VP_063,40.80081,-77.506195,Enochrus,1,Adult,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_064,40.93583,-78.032284,Acilius,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscinae,Acilius,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_065,40.93583,-78.032284,Neoporus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Neoporus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_066,40.93583,-78.032284,Laccophilus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Laccophilinae,Laccophilus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-24,BDEG_3,PSU_VP_067,40.80368,-77.499264,Gerridae,1,Nymph,Arthropoda,Insecta,Hemiptera,Gerridae,,,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-24,BDEG_3,PSU_VP_068,40.80368,-77.499264,Gerridae,1,Nymph,Arthropoda,Insecta,Hemiptera,Gerridae,,,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_069,40.84595,-78.097878,Laccophilus,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Laccophilinae,Laccophilus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_070,40.93583,-78.032284,Boyeria,1,Naiad,Arthropoda,Insecta,Odonata,Aeshnidae,,Boyeria,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_071,40.93583,-78.032284,Aeshna,1,Naiad,Arthropoda,Insecta,Odonata,Aeshnidae,,Aeshna,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_1,PSU_VP_072,40.84595,-78.097878,Hirudinea,1,Adult,Arthropoda,Clitellata,Hirudinea,,,,,,M.Ward,M. Ward,i think they are two different families,,,,,,,,,,
TRUE,2023-05-23,MSHN_1,PSU_VP_073,40.84595,-78.097878,Hirudinea,1,Adult,Arthropoda,Clitellata,Hirudinea,,,,,,M.Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_074,40.84595,-78.097878,Dytiscus,1,Larvae,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscinae,Dytiscus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_2,PSU_VP_075,40.93583,-78.032284,Aeshna,1,Larvae,Arthropoda,Insecta,Odonata,Aeshnidae,,Aeshna,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_2,PSU_VP_076,40.93583,-78.032284,Aeshna,1,Larvae,Arthropoda,Insecta,Odonata,Aeshnidae,,Aeshna,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_2,PSU_VP_077,40.93583,-78.032284,Enochrus,1,Adult,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_2,PSU_VP_078,40.93583,-78.032284,Enochrus,1,Adult,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_2,PSU_VP_079,40.93583,-78.032284,Enochrus,1,Adult,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Enochrus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_080,40.93583,-78.032284,Culex,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Culex,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_081,40.93583,-78.032284,Culex,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Culex,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_082,40.93583,-78.032284,Culex,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Culex,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_083,40.93583,-78.032284,Culex,1,Larvae,Arthropoda,Insecta,Diptera,Culicidae,Culicinae,Culex,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-16,MSHN_1,PSU_VP_084,40.84595,-78.097878,Acilius,1,Adult,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscinae,Acilius,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_085,40.93583,-78.032284,Gerris,1,Adult,Arthropoda,Insecta,Hemiptera,Gerridae,Gerrinae,Gerris,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_086,40.93583,-78.032284,Gerris,1,Adult,Arthropoda,Insecta,Hemiptera,Gerridae,Gerrinae,Gerris,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-23,MSHN_2,PSU_VP_087,40.93583,-78.032284,Hydroporus,1,Larvae,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Hydroporus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-17,BDEG_2,PSU_VP_088,40.80081,-77.506195,Sminthurus,1,Adult,Arthropoda,Entognatha,Collembola,Sminthuridae,,Sminthurus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_089,41.15978,-77.899456,Sminthurus,1,Adult,Arthropoda,Entognatha,Collembola,Sminthuridae,,Sminthurus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-22,SPRL_3,PSU_VP_090,41.15978,-77.899456,Sminthurus,1,Adult,Arthropoda,Entognatha,Collembola,Sminthuridae,,Sminthurus,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-17,BDEG_3,PSU_VP_091,40.80368,-77.499264,Aeshna,1,Naiad,Arthropoda,Insecta,Odonata,Aeshnidae,,Aeshna,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-17,BDEG_3,PSU_VP_092,40.80368,-77.499264,Aeshna,1,Naiad,Arthropoda,Insecta,Odonata,Aeshnidae,,Aeshna,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-17,BDEG_3,PSU_VP_093,40.80368,-77.499264,Aeshna,1,Naiad,Arthropoda,Insecta,Odonata,Aeshnidae,,Aeshna,,,M. Ward,M. Ward,,,,,,,,,,,
TRUE,2023-05-17,BDEG_3,PSU_VP_094,40.80368,-77.499264,Aeshna,1,Naiad,Arthropoda,Insecta,Odonata,Aeshnidae,,Aeshna,,,M. Ward,M. Ward,,,,,,,,,,,
