WEEK_COL,SITE_ID,Acilius,Aedes,Aeshna,Agabinae,Anopheles,Boyeria,Brychius,Ceratopogoninae,Chaoboridae,Chauliodes,Chironomini,Coptotomus,Culex,Diptera,Dytiscidae,Dytiscus,Enochrus,Gerris,Hirudinea,Hydroporinae,Hydroporus,Ilybius,Laccophilus,Lesteva,Limnephilus,Liodessus,Neoporus,Notonecta,Oligochaeta,Orthocladinae,Peltodytes,Ranatra,Scirtidae,Sminthurus,Tanypodinae,Total_Abund,Std
WEEK_03,BDEG_2,0,7.692307692,46.15384615,0,0,0,0,0,0,15.38461538,7.692307692,0,0,0,0,0,7.692307692,0,0,0,0,0,0,0,0,0,0,0,7.692307692,0,0,0,0,7.692307692,0,13,100
WEEK_03,BDEG_3,0,2.380952381,11.9047619,0,0,0,0,0,2.380952381,4.761904762,21.42857143,0,0,0,0,0,0,4.761904762,0,2.380952381,0,7.142857143,0,0,0,0,0,0,0,0,0,0,35.71428571,7.142857143,0,42,100
WEEK_03,MSHN_1,3.773584906,13.20754717,1.886792453,1.886792453,0,0,1.886792453,0,1.886792453,0,1.886792453,0,1.886792453,7.547169811,1.886792453,1.886792453,0,1.886792453,3.773584906,0,1.886792453,0,1.886792453,0,5.660377358,0,3.773584906,0,33.96226415,0,0,0,0,0,7.547169811,53,100
WEEK_03,MSHN_2,1.428571429,0,2.142857143,0,0,0.714285714,0,0,0,0,0.714285714,0,2.857142857,0,0,1.428571429,2.857142857,2.142857143,0,1.428571429,0.714285714,0,0.714285714,1.428571429,5.714285714,0,1.428571429,0,72.14285714,0,0,0.714285714,0,0,1.428571429,140,100
WEEK_03,SPRL_3,0,5.660377358,1.886792453,0,0,0,0,0,0,3.773584906,62.26415094,0,0,0,0,0,9.433962264,0,0,0,0,0,0,0,0,13.20754717,0,0,0,0,0,0,0,3.773584906,0,53,100
WEEK_09,BDEG_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,50,0,0,0,0,0,0,0,0,25,0,0,4,100
WEEK_09,BDEG_3,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100
WEEK_09,MSHN_1,0,2.112676056,0,1.408450704,4.225352113,0,0,0,0,0,0.704225352,0,0,0,0,1.408450704,7.042253521,4.929577465,2.112676056,0,0.704225352,0,0,0.704225352,0,0.704225352,0,5.633802817,49.29577465,0,0.704225352,0,0,0,18.30985915,142,100
WEEK_09,MSHN_2,0,0,3.703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0,3.703703704,0,81.48148148,0,0,0,0,0,0,27,100
WEEK_09,SPRL_3,0,45.16129032,0,0,0,0,0,6.451612903,0,3.225806452,16.12903226,0,0,0,0,0,3.225806452,0,0,0,0,0,0,0,0,16.12903226,6.451612903,0,0,3.225806452,0,0,0,0,0,31,100